date,symbol,open,high,low,close,volume
2025-05-27,005930,54200.0,54500.0,53800.0,53900.0,13439520
2025-05-28,005930,54300.0,56100.0,54200.0,55900.0,17516283
2025-05-29,005930,56200.0,56400.0,55600.0,56100.0,12936810
2025-05-30,005930,56200.0,57200.0,55800.0,56200.0,26219683
2025-06-02,005930,56300.0,57300.0,56200.0,56800.0,12870515
2025-06-04,005930,57200.0,57900.0,56800.0,57800.0,19649983
2025-06-05,005930,58100.0,59900.0,57900.0,59100.0,23266027
2025-06-09,005930,60400.0,60400.0,59500.0,59800.0,19609659
2025-06-10,005930,60000.0,60100.0,58800.0,59200.0,15305760
2025-06-11,005930,59500.0,60100.0,59400.0,59900.0,13610734
2025-06-12,005930,59700.0,60000.0,59300.0,59500.0,17755115
2025-06-13,005930,60200.0,60200.0,57700.0,58300.0,20705979
2025-06-16,005930,58000.0,58100.0,56900.0,57200.0,22200872
2025-06-17,005930,57800.0,59800.0,57400.0,58100.0,28637003
2025-06-18,005930,58000.0,59800.0,57900.0,59800.0,17620705
2025-06-19,005930,60500.0,60600.0,59000.0,59200.0,16876278
2025-06-20,005930,59400.0,59800.0,59100.0,59500.0,18072251
2025-06-23,005930,58400.0,58500.0,57600.0,58000.0,16551694
2025-06-24,005930,59400.0,60600.0,59300.0,60500.0,23737899
2025-06-25,005930,61500.0,61600.0,60300.0,61300.0,23933612
2025-06-26,005930,61300.0,61300.0,59900.0,60200.0,19402300
2025-06-27,005930,60100.0,61600.0,60000.0,60800.0,17340470
2025-06-30,005930,61200.0,61200.0,59800.0,59800.0,17110294
2025-07-01,005930,60400.0,61100.0,60200.0,60200.0,13650991
2025-07-02,005930,60200.0,60900.0,59800.0,60800.0,15047951
2025-07-03,005930,61300.0,63800.0,61100.0,63800.0,32040639
2025-07-04,005930,64700.0,64700.0,63000.0,63300.0,23748959
2025-07-07,005930,62900.0,63300.0,61700.0,61700.0,17164708
2025-07-08,005930,61600.0,62400.0,61000.0,61400.0,20213724
2025-07-09,005930,61400.0,61400.0,60200.0,60400.0,17533415
2025-07-10,005930,60600.0,61200.0,60400.0,61000.0,14768473
2025-07-11,005930,61300.0,62800.0,61200.0,62600.0,19140650
2025-07-14,005930,62300.0,62600.0,61800.0,62500.0,13563846
2025-07-15,005930,62300.0,63800.0,62000.0,63700.0,18442202
2025-07-16,005930,63700.0,64700.0,63100.0,64700.0,23042660
2025-07-17,005930,65900.0,66800.0,64400.0,66700.0,39448683
2025-07-18,005930,67000.0,67800.0,66300.0,67100.0,23951531
2025-07-21,005930,67400.0,68800.0,67200.0,67800.0,17723148
2025-07-22,005930,68100.0,68500.0,65600.0,66000.0,20829006
2025-07-23,005930,66200.0,66500.0,64900.0,66400.0,15687058
2025-07-24,005930,66500.0,66800.0,65900.0,66000.0,12660193
2025-07-25,005930,65700.0,66300.0,65500.0,65900.0,8080910
2025-07-28,005930,68200.0,70400.0,67200.0,70400.0,35332500
2025-07-29,005930,70800.0,70800.0,68800.0,70600.0,28190940
2025-07-30,005930,71000.0,73700.0,70600.0,72600.0,34761444
2025-07-31,005930,73000.0,74000.0,71000.0,71400.0,26568072
2025-08-01,005930,70200.0,72000.0,68800.0,68900.0,24038534
2025-08-04,005930,69500.0,70200.0,68700.0,69700.0,14780072
2025-08-05,005930,71000.0,71500.0,69700.0,69900.0,14392903
2025-08-06,005930,69200.0,69400.0,68300.0,68800.0,12542415
2025-08-07,005930,70800.0,71000.0,69700.0,70500.0,15008213
2025-08-08,005930,71000.0,72400.0,70700.0,71800.0,22241128
2025-08-11,005930,72000.0,72100.0,70800.0,71000.0,11354253
2025-08-12,005930,71100.0,72400.0,71100.0,71100.0,15797656
2025-08-13,005930,71900.0,72100.0,71400.0,71900.0,12305742
2025-08-14,005930,71900.0,71900.0,71200.0,71600.0,11946122
2025-08-18,005930,71100.0,71200.0,70000.0,70000.0,13595591
2025-08-19,005930,70400.0,70700.0,69700.0,70000.0,10533082
2025-08-20,005930,70100.0,70700.0,69400.0,70500.0,17445516
2025-08-21,005930,71500.0,71900.0,70600.0,70600.0,18843833
2025-08-22,005930,71700.0,71800.0,70800.0,71400.0,9277432
2025-08-25,005930,71700.0,71800.0,71000.0,71500.0,10345178
2025-08-26,005930,70800.0,71100.0,70300.0,70300.0,14712519
2025-08-27,005930,70100.0,70900.0,69800.0,70600.0,10523405
2025-08-28,005930,70100.0,70400.0,69600.0,69600.0,11578024
2025-08-29,005930,70100.0,70500.0,69700.0,69700.0,11682267
2025-09-01,005930,68400.0,68600.0,67500.0,67600.0,12002343
2025-09-02,005930,67800.0,69500.0,67800.0,69100.0,10604028
2025-09-03,005930,69200.0,69800.0,68800.0,69800.0,10283009
2025-09-04,005930,69500.0,70100.0,69300.0,70100.0,12284414
2025-09-05,005930,70300.0,70400.0,69500.0,69500.0,11526724
2025-09-08,005930,69800.0,70500.0,69600.0,70100.0,9263135
2025-09-09,005930,70100.0,71500.0,70000.0,71500.0,14870245
2025-09-10,005930,71800.0,72800.0,71600.0,72600.0,21928565
2025-09-11,005930,73200.0,73600.0,72100.0,73400.0,20793501
2025-09-12,005930,74600.0,75600.0,74200.0,75400.0,28219678
2025-09-15,005930,77200.0,77600.0,75900.0,76500.0,19908805
2025-09-16,005930,76900.0,79500.0,76700.0,79400.0,28218265
2025-09-17,005930,79100.0,79100.0,77100.0,78200.0,20856317
2025-09-18,005930,79100.0,80500.0,78600.0,80500.0,25619035
2025-09-19,005930,81100.0,81200.0,79600.0,79700.0,20898386
2025-09-22,005930,81500.0,84000.0,81100.0,83500.0,27529656
2025-09-23,005930,85800.0,85900.0,83600.0,84700.0,23610263
2025-09-24,005930,84200.0,85500.0,83700.0,85400.0,18300997
2025-09-25,005930,84400.0,86200.0,84100.0,86100.0,19665151
2025-09-26,005930,85000.0,85300.0,82400.0,83300.0,24071193
2025-09-29,005930,83300.0,85000.0,83200.0,84200.0,13069094
2025-09-30,005930,84600.0,84900.0,83400.0,83900.0,16319061
2025-10-01,005930,84900.0,86200.0,84700.0,86000.0,22039361
2025-10-02,005930,89300.0,90300.0,88700.0,89000.0,49883028
2025-10-10,005930,94000.0,94500.0,92700.0,94400.0,35269748
2025-10-13,005930,91300.0,93400.0,90700.0,93300.0,23883308
2025-10-14,005930,95300.0,96000.0,90200.0,91600.0,35545235
2025-10-15,005930,92300.0,95300.0,92100.0,95000.0,21050111
2025-10-16,005930,95300.0,97700.0,95000.0,97700.0,28141060
2025-10-17,005930,97200.0,99100.0,96700.0,97900.0,22730809
2025-10-20,005930,97900.0,98300.0,96000.0,98100.0,17589756
2025-10-21,005930,98500.0,99900.0,97300.0,97500.0,22803830
2025-10-22,005930,97100.0,98600.0,95500.0,98600.0,15937611
2025-10-23,005930,96800.0,98500.0,96300.0,96500.0,18488581
2025-10-24,005930,97900.0,99000.0,97700.0,98800.0,18801925
2025-10-27,005930,101300.0,102000.0,100600.0,102000.0,22169970
2025-10-28,005930,100900.0,101000.0,99100.0,99500.0,20002282
2025-10-29,005930,100200.0,101000.0,99100.0,100500.0,20899788
2025-10-30,005930,102400.0,105800.0,102000.0,104100.0,34570017
2025-10-31,005930,105000.0,108600.0,103300.0,107500.0,54824564
2025-11-03,005930,106900.0,111500.0,106500.0,111100.0,30110066
2025-11-04,005930,111800.0,112400.0,104900.0,104900.0,30450281
2025-11-05,005930,101000.0,102000.0,96700.0,100600.0,44843020
2025-11-06,005930,103700.0,103800.0,98800.0,99200.0,28655689
2025-11-07,005930,96400.0,100300.0,96300.0,97900.0,22908083
2025-11-10,005930,98600.0,101000.0,97900.0,100600.0,23842327
2025-11-11,005930,103700.0,106000.0,102000.0,103500.0,27742542
2025-11-12,005930,103000.0,103900.0,101600.0,103100.0,19413497
2025-11-13,005930,102500.0,104200.0,102300.0,102800.0,20838741
2025-11-14,005930,99000.0,99600.0,97200.0,97200.0,21806342
2025-11-17,005930,99800.0,101000.0,99500.0,100600.0,17192584
2025-11-18,005930,99800.0,100900.0,97500.0,97800.0,18684068
2025-11-19,005930,97100.0,97500.0,94600.0,96500.0,18993346
2025-11-20,005930,100900.0,102900.0,99500.0,100600.0,25360435
2025-11-21,005930,95600.0,96800.0,94500.0,94800.0,23103574
2025-11-24,005930,97800.0,99000.0,96200.0,96700.0,29831172
2025-11-25,005930,101400.0,101400.0,97800.0,99300.0,16110054
2025-11-26,005930,100500.0,102900.0,99300.0,102800.0,21314975
2025-11-27,005930,104100.0,105500.0,102700.0,103500.0,16453004
2025-11-28,005930,103800.0,103800.0,100500.0,100500.0,15292277
2025-12-01,005930,102000.0,102800.0,99900.0,100800.0,10905526
2025-12-02,005930,101200.0,103500.0,101000.0,103400.0,13649487
2025-12-03,005930,104700.0,105500.0,104000.0,104500.0,14697927
2025-12-04,005930,103900.0,105100.0,103200.0,105100.0,11931145
2025-12-05,005930,105300.0,108400.0,104600.0,108400.0,19755571
2025-12-08,005930,109700.0,110000.0,108000.0,109500.0,15527762
2025-12-09,005930,108900.0,109400.0,107300.0,108400.0,13671800
2025-12-10,005930,108300.0,109800.0,107400.0,108000.0,12365092
2025-12-11,005930,109200.0,110500.0,107300.0,107300.0,22994507
2025-12-12,005930,107100.0,108900.0,106800.0,108900.0,14210314
2025-12-15,005930,105300.0,105800.0,104600.0,104800.0,20594654
2025-12-16,005930,104900.0,105600.0,102700.0,102800.0,18852079
2025-12-17,005930,103500.0,108100.0,103400.0,107900.0,22297611
2025-12-18,005930,106400.0,108200.0,105700.0,107600.0,20445631
2025-12-19,005930,109700.0,109700.0,106200.0,106300.0,25917098
2025-12-22,005930,109700.0,110500.0,109300.0,110500.0,24859171
2025-12-23,005930,110900.0,112500.0,110400.0,111500.0,20419187
2025-12-24,005930,112400.0,112400.0,110900.0,111100.0,12492939
2025-12-26,005930,112400.0,117000.0,112400.0,117000.0,34018174
2025-12-29,005930,119400.0,119700.0,118200.0,119500.0,19676004
2025-12-30,005930,119100.0,121200.0,118700.0,119900.0,19746349
2026-01-02,005930,120200.0,128500.0,120200.0,128500.0,30463279
2026-01-05,005930,134600.0,138600.0,133600.0,138100.0,42863376
2026-01-06,005930,135300.0,139300.0,132700.0,138900.0,45321341
2026-01-07,005930,143500.0,144400.0,137600.0,141000.0,46317413
2026-01-08,005930,138300.0,144500.0,138300.0,138800.0,41449329
2026-01-09,005930,136000.0,140700.0,135200.0,139000.0,29520566
2026-01-12,005930,141000.0,142000.0,136900.0,138800.0,26271134
2026-01-13,005930,139800.0,140200.0,136900.0,137600.0,22384699
2026-01-14,005930,137000.0,140300.0,136800.0,140300.0,18444394
2026-01-15,005930,139000.0,144000.0,138300.0,143900.0,24701126
2026-01-16,005930,145300.0,149500.0,144300.0,148900.0,30000219
2026-01-19,005930,147200.0,150600.0,146600.0,149300.0,22762497
2026-01-20,005930,148500.0,149300.0,143900.0,145200.0,24059218
2026-01-21,005930,141900.0,149800.0,141800.0,149500.0,31703610
2026-01-22,005930,155000.0,157000.0,150800.0,152300.0,32073624
2026-01-23,005930,154700.0,156000.0,150100.0,152100.0,25407497
2026-01-26,005930,154900.0,156400.0,151500.0,152100.0,20561689
2026-01-27,005930,150500.0,159500.0,149200.0,159500.0,29423670
2026-01-28,005930,162600.0,163300.0,160200.0,162400.0,29456431
2026-01-29,005930,166200.0,166600.0,157100.0,160700.0,36087223
2026-01-30,005930,160100.0,166500.0,160100.0,160500.0,40557267
2026-02-02,005930,155700.0,159600.0,150400.0,150400.0,39748369
2026-02-03,005930,157900.0,167500.0,157200.0,167500.0,36529813
2026-02-04,005930,163500.0,169400.0,163100.0,169100.0,29943042
2026-02-05,005930,162000.0,164000.0,158500.0,159300.0,38435228
2026-02-06,005930,154100.0,160300.0,151600.0,158600.0,36358081
2026-02-09,005930,168600.0,168700.0,165000.0,166400.0,25098971
2026-02-10,005930,167400.0,168100.0,165500.0,165800.0,19369566
2026-02-11,005930,164000.0,168600.0,162000.0,167800.0,22760242
2026-02-12,005930,171200.0,179600.0,170100.0,178600.0,41296011
2026-02-13,005930,179500.0,184400.0,178900.0,181200.0,34454192
